,trade,date,position,price,symbol,quantity,capital
76,0,2010-11-10,1,25.26714324951172,NFLX,228,100772.59457397461
77,0,2010-11-10,-1,20.618921279907227,MSFT,258,99678.13283538818
78,0,2010-11-10,1,15.549086570739746,GOOGL,323,99947.6142911911
79,0,2010-11-10,1,9.591728210449219,AAPL,533,100120.56160545349
80,0,2010-11-10,1,8.666500091552734,AMZN,630,100461.79017543793
81,0,2010-11-11,1,25.020000457763672,NFLX,228,100716.24601745605
82,0,2010-11-11,1,9.550106048583984,AAPL,533,100098.37699317932
83,0,2010-11-11,1,15.407045364379883,GOOGL,323,99901.73498153687
84,0,2010-11-11,-1,20.419925689697266,MSFT,258,99729.47369766235
85,0,2010-11-11,1,8.518500328063965,AMZN,630,100368.55032444
86,0,2010-11-12,1,24.71428680419922,NFLX,228,100646.54330444336
