,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_max_drawdown,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,rsi_window,stock_combination
111,0.05417181494616208,0.16791418055469368,0.2035076181968532,0.20749114778290292,0.27358112429456966,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'META', 'AMZN', 'AAPL', 'NVDA')"
202,0.05989755437170752,0.1963608283264409,0.20318489543841023,0.20388668777792857,0.3401999033506033,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
93,0.05383113361218683,0.1671771585665368,0.2023669615052225,0.20472815891531868,0.2518529167888112,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'META', 'GOOG', 'AAPL', 'NVDA')"
371,0.05438017895880498,0.17036882573880857,0.2017985321534881,0.20311913776871549,0.26791933990653766,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('NFLX', 'TSLA', 'META', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
136,0.061698585289348795,0.21037571506344602,0.19821007038180785,0.19872665053340066,0.3436055232291547,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'GOOGL', 'GOOG', 'AMZN', 'NVDA')"
587,0.05010942290442477,0.15402205893170473,0.19548773151887067,0.1971937424340479,0.28575194092453365,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('AVGO', 'TSLA', 'META', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
117,0.05122736786993354,0.16420113724977967,0.19017753709239574,0.1942105830300449,0.25619897284333065,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'META', 'MSFT', 'AAPL', 'NVDA')"
563,0.04922992933858916,0.1545231510227088,0.18916213619209407,0.1904211346449449,0.2929565274088532,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('AVGO', 'TSLA', 'META', 'GOOGL', 'MSFT', 'AAPL', 'NVDA')"
387,0.05097043336608298,0.16604198960927724,0.1865216951384481,0.18957615049343354,0.25683402611609263,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'GOOGL', 'AMZN', 'AAPL', 'NVDA')"
100,0.05184649230290983,0.17133568590596127,0.1858719164925688,0.18807999188813823,0.4141277960919333,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'AVGO', 'TSLA', 'META', 'AMZN', 'MSFT', 'AAPL')"
